state_ut,area,geography_type,hh_surveyed,women_interviewed,anc_first_trimester_pct,anc_4plus_visits_pct,tetanus_protected_birth_pct,ifa_100days_pct,ifa_180days_pct,mcp_card_pct,postnatal_care_mother_2days_pct,oop_cost_public_delivery_rs,institutional_births_pct,institutional_births_public_pct,skilled_birth_attendance_pct,caesarean_overall_pct,caesarean_private_pct,caesarean_public_pct,full_immunisation_card_recall_pct,bcg_pct,polio3_pct,penta_dpt3_pct,mcv1_pct,mcv2_24to35m_pct,rotavirus3_pct,vitamin_a_pct,breastfed_1hour_pct,exclusive_breastfed_u6m_pct,adequate_diet_6to23m_pct,stunted_pct,wasted_pct,severely_wasted_pct,underweight_pct,overweight_child_pct,children_anaemic_6to59m_pct,women_bmi_below_normal_pct,women_anaemic_all_pct,women_anaemic_pregnant_pct,neonatal_mortality_rate,infant_mortality_rate,under5_mortality_rate,total_fertility_rate,women_married_before18_pct,women_literate_pct,women_10plus_yrs_school_pct,improved_drinking_water_pct,improved_sanitation_pct,clean_cooking_fuel_pct,health_insurance_pct
Himachal Pradesh,Urban,State/UT,914.0,864.0,81.6,77.31,86.67,72.93,44.36,97.8,88.83,9411.09,93.09,64.23,90.31,26.15,46.65,19.75,94.09,97.69,95.38,94.09,96.4,30.57,73.39,71.6,43.75,,14.38,27.04,16.16,6.31,24.64,5.38,58.17,9.75,51.02,,,,,1.43,7.23,95.01,79.78,98.37,85.0,94.69,37.06
Himachal Pradesh,Rural,State/UT,9784.0,9504.0,71.17,69.34,90.49,66.43,42.8,98.81,85.95,3138.34,87.55,72.72,86.63,20.27,52.59,17.15,88.51,98.23,89.31,96.42,95.86,44.23,90.04,78.06,45.28,71.28,19.72,31.34,17.55,6.96,25.62,5.7,54.97,14.54,53.33,43.93,21.28,27.08,30.9,1.69,5.14,91.23,63.78,95.86,81.27,44.45,34.09
Himachal Pradesh,Total,State/UT,10698.0,10368.0,72.44,70.31,90.02,67.22,42.99,98.69,86.3,3760.48,88.2,71.72,87.06,20.96,51.37,17.43,89.25,98.16,90.11,96.11,95.93,42.43,87.85,77.28,45.09,69.85,19.0,30.84,17.39,6.88,25.5,5.66,55.35,13.91,53.02,42.19,20.54,25.63,28.94,1.66,5.4,91.73,65.89,96.19,81.75,51.73,34.52
Jammu & Kashmir,Urban,State/UT,3423.0,4152.0,89.99,83.08,94.39,34.02,21.57,97.29,89.42,5680.44,98.56,87.35,98.75,54.67,90.99,50.91,82.99,90.98,82.99,89.96,88.72,36.48,3.98,85.98,54.89,68.13,12.29,30.07,17.61,9.55,19.38,10.78,70.06,3.65,61.41,44.07,7.52,14.67,15.71,1.22,2.0,84.32,65.11,98.33,85.64,95.75,19.2
Jammu & Kashmir,Rural,State/UT,14663.0,18885.0,85.46,80.2,91.08,28.48,14.12,97.31,82.57,4971.43,90.52,86.61,93.98,37.77,74.43,40.24,87.23,96.41,88.98,93.64,92.63,32.0,5.67,81.17,55.86,59.93,14.0,25.89,19.4,9.68,21.45,9.25,73.53,5.79,67.51,44.12,10.48,16.74,19.36,1.48,5.26,74.71,46.22,89.64,72.26,58.89,10.15
Jammu & Kashmir,Total,State/UT,18086.0,23037.0,86.55,80.9,91.88,29.82,15.93,97.31,84.23,5145.11,92.39,86.79,95.09,41.7,82.14,42.74,86.22,95.12,87.56,92.76,91.7,33.06,5.27,82.3,55.63,61.97,13.6,26.86,18.98,9.65,20.97,9.61,72.69,5.23,65.89,44.11,9.79,16.26,18.53,1.41,4.46,77.27,51.25,91.89,75.73,69.19,12.68
Jharkhand,Urban,State/UT,4301.0,5145.0,76.16,48.48,90.77,37.67,22.28,87.73,79.84,2583.76,89.08,47.27,92.55,25.79,47.68,12.38,67.77,92.98,71.24,79.82,80.95,29.71,65.24,72.5,22.47,61.64,10.31,26.77,22.97,10.68,29.96,2.78,65.46,17.28,61.08,45.47,17.65,22.24,27.33,1.56,19.42,82.37,54.4,94.63,75.88,70.97,41.57
Jharkhand,Rural,State/UT,18562.0,21350.0,66.2,36.42,90.77,26.13,13.19,92.28,66.7,1980.08,73.06,58.77,80.49,10.15,46.06,6.07,75.1,95.36,77.82,86.68,87.78,32.8,76.43,70.62,21.25,78.62,10.47,42.25,22.29,8.8,41.36,2.82,67.91,29.16,66.66,59.19,30.39,41.13,49.21,2.48,36.09,59.34,26.29,84.12,50.81,19.49,53.08
Jharkhand,Total,State/UT,22863.0,26495.0,68.02,38.62,90.77,28.23,14.85,91.46,69.1,2069.2,75.76,56.83,82.53,12.79,46.66,6.96,73.91,94.97,76.75,85.57,86.67,32.29,74.6,70.93,21.45,76.06,10.45,39.58,22.41,9.12,39.4,2.81,67.45,26.2,65.3,56.81,28.21,37.88,45.44,2.26,32.21,65.01,33.22,86.57,56.65,31.89,50.31
Karnataka,Urban,State/UT,7727.0,8962.0,73.65,71.23,94.9,50.67,31.53,96.75,87.37,5042.17,98.34,55.96,96.15,35.21,52.33,23.3,79.97,96.59,82.51,91.33,88.97,34.43,7.62,86.65,51.79,56.71,11.44,32.16,18.52,8.61,29.43,3.76,62.81,12.94,43.91,37.33,15.07,21.39,24.51,1.5,16.12,85.09,62.3,97.26,84.39,94.51,28.23
